S/N,Source Name,Data Link,Source Website,Country / Coverage,Link Description,Source Type,Industry,Institution Name,Available Formats,Access Type,Update Frequency,Last Updated (latest data seen),Notes,Category,Data Granularity,Language,API Available,Link Status,Priority for Platform
1,AfCFTA Secretariat,https://au-afcfta.org/,https://au-afcfta.org/,Africa (AfCFTA state parties),"Official AfCFTA portal with the agreement texts, tariff offers, ratification status, rules of origin and Guided Trade Initiative reporting.",International / Continental body,Trade,AfCFTA Secretariat (African Union),"PDF, Online, Excel",Free access,Continuous,2024,The authoritative record of AfCFTA ratification and implementation status.,Pan-African Source,Country-level,English and French,No,Live,High
2,Africa CDC - Resource Centre,https://africacdc.org/resources/,https://africacdc.org/,Africa (AU member states),"Outbreak situation reports, epidemic intelligence briefs, guidelines and health security data for African Union member states.",International / Continental body,Health / Epidemiology,Africa Centres for Disease Control and Prevention (African Union),"PDF, Online",Free access,Weekly (outbreak briefs),2026,The continental authority on African outbreak data. Weekly Event-Based Surveillance reports are the key series.,Pan-African Source,Country-level,English and French,No,Live,High
3,Africa Data Hub,https://www.africadatahub.org/,https://www.africadatahub.org/,Africa,"Data infrastructure and curated African datasets built for journalists and researchers, including inflation, food prices, debt and elections trackers.",NGO / Civic tech,Multiple,Africa Data Hub,"CSV, Online, API",Free access,Continuous,2025,The African Inflation and Food Price trackers are unusually well maintained.,Pan-African Source,Country-level,English and French,Yes,Live,High
4,The Big Deal - African Tech Funding,https://thebigdeal.substack.com/,https://thebigdeal.substack.com/,Africa,"The most complete running tracker of African startup funding: deal counts, volumes, country and sector splits, published continuously.",Private,Startups / Venture capital,Africa: The Big Deal (Maxime Bayen & Max Cuvellier),"Online, PNG/JPG, Excel (paid database)",Partial free access,Weekly / Monthly,2026,Free newsletter carries headline numbers; the full deal-level database is a paid subscription. Best-in-class for African VC data.,Pan-African Source,Country-level,English and French,No,Live,High
5,AFRAA - African Airlines Association,https://www.afraa.org/our-work/statistics/,https://afraa.org/,Africa,"African aviation market data: traffic, capacity, connectivity, fleet and the Annual Africa Air Transport Report.",Private / Industry association,Aviation,African Airlines Association,"PDF, Online",Free access,Annual / Monthly,2026,The main African-owned aviation statistics source.,Pan-African Source,Sub-national,English and French,No,Live,High
6,African Business - Top 250 Companies,https://african.business/,https://african.business/,Africa,"Annual ranking of Africa's largest listed companies by market capitalisation, plus the Top 100 African banks ranking.",Private (Media),Business / Capital markets,African Business (IC Publications),"Online, PDF",Partial free access,Annual,2026,One of very few consolidated pan-African corporate rankings.,Pan-African Source,Country-level,English and French,No,Live,High
7,African Capacity Building Foundation,https://theacbf.org/,https://www.acbf-pact.org/,Africa,Africa Capacity Report and country capacity index data covering institutional and human capacity across African states.,NGO / Non-profit research,Governance / Capacity,African Capacity Building Foundation,"PDF, Online",Free access,Annual,2026,CORRECTED: the foundation moved to theacbf.org; the old domain redirects.,Pan-African Source,Sub-national,English and French,No,Live,High
8,African Center for Economic Transformation (ACET),https://acetforafrica.org/research-and-analysis/?filter=true&category=reports-studies,https://acetforafrica.org/,Africa,"African Transformation Index and Report scoring countries on diversification, export competitiveness, productivity, technology and human wellbeing.",NGO / Non-profit research,Economy / Development,African Center for Economic Transformation,"PDF, Excel, Online",Free access,Periodic,2025,The African Transformation Index is an Africa-designed alternative to GDP-only comparisons.,Pan-African Source,Country-level,English and French,No,Live,High
9,African Development Bank - Africa Information Highway (Open Data Portal),https://dataportal.opendataforafrica.org/,https://www.afdb.org/,Africa (54 countries),"The AfDB's flagship open data platform, linking national data portals for all 54 African countries with macroeconomic, sector and SDG indicators in a single interface.",International (MDB),All / Cross-sector,African Development Bank Group,"CSV, Excel, PDF, PNG/JPG, Online, API",Free access,Continuous,2026,"The backbone of African open data - most '<country>.opendataforafrica.org' portals hang off this. Highest-priority source for a pan-African platform. Automated check was blocked by the site (bot protection, TLS or robots.txt) on 18 Sep 2026; the page opens normally in a browser.",Pan-African Source,Country-level,English and French,Yes,Live - auto-check blocked,High
10,African Development Bank - Main Site,https://www.afdb.org/,https://www.afdb.org/,Africa,"Institutional site for the AfDB with country strategies, economic outlooks, statistics and project information across Africa.",International (MDB),All / Cross-sector,African Development Bank Group,"PDF, Online",Free access,Continuous,2026,"Entry point; the Documents and Data Portal sub-sites carry the actual datasets. Automated check was blocked by the site (bot protection, TLS or robots.txt) on 18 Sep 2026; the page opens normally in a browser.",Pan-African Source,Country-level,English and French,No,Live - auto-check blocked,High
11,African Development Bank - Publications & Documents,https://www.afdb.org/en/documents/publications,https://www.afdb.org/,Africa,"Full publications library including the African Economic Outlook, country diagnostic notes, sector reviews and evaluation reports.",International (MDB),All / Cross-sector,African Development Bank Group,"PDF, Online",Free access,Continuous,2026,The African Economic Outlook (published each May) is the standout annual series here.,Pan-African Source,Country-level,English and French,No,Live,High
12,African Energy Commission (AFREC),https://au-afrec.org/key-documents,https://au.int/,Africa (AU member states),"The African Union's energy agency, publishing the Africa Energy Database and continental energy balances and statistics.",International / Continental body,Energy,African Energy Commission (African Union),"PDF, Excel, Online",Free access,Annual,2025,The only African Union-produced continental energy statistics series.,Pan-African Source,Country-level,English and French,No,Live,High
13,Afreximbank - Africa Trade Gateway,https://www.tradegateway.africa/,https://www.afreximbank.com/,Africa,"Digital trade platform bundling MANSA (due diligence repository), TRADAR intelligence, the Africa Trade Exchange and trade regulation data.",International (MDB),Trade / Finance,African Export-Import Bank,"Online, PDF",Free but requires signup,Continuous,2025,"MANSA is a rare Africa-wide company and bank due-diligence dataset. Automated check was blocked by the site (bot protection, TLS or robots.txt) on 18 Sep 2026; the page opens normally in a browser.",Pan-African Source,Country-level,English and French,No,Live - auto-check blocked,High
14,Afreximbank - Research and Knowledge Publications,https://www.afreximbank.com/research-and-knowledge/publications/,https://www.afreximbank.com/,Africa,"African trade, trade finance and intra-African commerce research, including the African Trade Report and Africa Trade Gateway data products.",International (MDB),Trade / Finance,African Export-Import Bank,"PDF, Online",Free access,Annual + periodic,2024,The annual African Trade Report is one of the best free sources on intra-African trade flows.,Pan-African Source,Country-level,English and French,No,Live,High
15,Afreximbank Research - African Trade Report,https://www.afreximbank.com/research-and-knowledge/,https://www.afreximbank.com/,Africa,"Annual African trade report with intra-African trade flows, commodity composition and trade finance gap estimates.",International (MDB),Trade / Finance,African Export-Import Bank,"PDF, Excel",Free access,Annual,2026,The African trade finance gap estimate published here is widely cited.,Pan-African Source,Country-level,English and French,No,Live,High
16,AFIDEP - African Institute for Development Policy,https://afidep.org/resources/publications/,https://www.afidep.org/,Africa,"Evidence and data on African population dynamics, demographic dividend, health systems and human capital.",Academic / Research institute,Population / Health policy,African Institute for Development Policy,"PDF, Online",Free access,Continuous,2026,Strong on the African demographic dividend evidence base.,Pan-African Source,Country-level,English and French,No,Live,High
17,African Journals OnLine (AJOL),https://www.ajol.info/,https://www.ajol.info/,Africa,The world's largest collection of African-published peer-reviewed scholarly journals across all disciplines.,Academic / Research institute,Research / Science,African Journals OnLine,"PDF, Online",Partial free access,Continuous,2024,Essential for African-authored research that indexes poorly in Western databases.,Pan-African Source,Country-level,English and French,No,Live,High
18,African Peer Review Mechanism (APRM),https://www.aprm-au.org/,https://www.aprm-au.org/,Africa (AU member states),"Country review reports assessing governance, economic management, corporate governance and socio-economic development.",International / Continental body,Governance,African Peer Review Mechanism (African Union),"PDF, Online",Free access,Irregular / review cycle,2021,"Deep qualitative governance assessments per country, on a multi-year cycle.",Pan-African Source,Country-level,English and French,No,Live,High
19,Africa Re - Statistics and Publications,https://www.africa-re.com/library,https://www.africa-re.com/,Africa,"African insurance and reinsurance market data, premium volumes and market reviews.",Private / Regional institution,Insurance,African Reinsurance Corporation,"PDF, Online",Free access,Annual,2026,African insurance penetration data is scarce - this is one of the better sources. CORRECTED: /publications returned 404 on 18 Sep 2026. The Investors Library holds the annual reports and financial highlights.,Pan-African Source,Country-level,English and French,No,Live,High
20,African Tax Administration Forum (ATAF),https://ataftax.org/publications/,https://www.ataftax.org/,Africa (43 member countries),The African Tax Outlook - comparable tax administration and revenue performance data across African revenue authorities.,International / Regional body,Tax / Public finance,African Tax Administration Forum,"PDF, Excel, Online",Free access,Annual,2024,African revenue authority data reported by the authorities themselves.,Pan-African Source,Country-level,English and French,No,Live,High
21,African Union - Agenda 2063 Reporting,https://au.int/agenda2063/overview,https://au.int/,Africa (55 member states),"Agenda 2063 framework, goals, targets and the continental and member state progress reports on Africa's 50-year development plan.",International / Continental body,Development / Governance,African Union Commission,"PDF, Online",Free access,Biennial,2026,The continental development framework African governments report against.,Pan-African Source,Country-level,English and French,No,Live,High
