S/N,Source Name,Data Link,Source Website,Country / Coverage,Link Description,Source Type,Industry,Institution Name,Available Formats,Access Type,Update Frequency,Last Updated (latest data seen),Notes,Category,Data Granularity,Language,API Available,Link Status,Priority for Platform
1,AfCFTA Secretariat,https://au-afcfta.org/,https://au-afcfta.org/,Africa (AfCFTA state parties),"Official AfCFTA portal with the agreement texts, tariff offers, ratification status, rules of origin and Guided Trade Initiative reporting.",International / Continental body,Trade,AfCFTA Secretariat (African Union),"PDF, Online, Excel",Free access,Continuous,2024,The authoritative record of AfCFTA ratification and implementation status.,Pan-African Source,Country-level,English and French,No,Live,High
2,Africa CDC - Resource Centre,https://africacdc.org/resources/,https://africacdc.org/,Africa (AU member states),"Outbreak situation reports, epidemic intelligence briefs, guidelines and health security data for African Union member states.",International / Continental body,Health / Epidemiology,Africa Centres for Disease Control and Prevention (African Union),"PDF, Online",Free access,Weekly (outbreak briefs),2026,The continental authority on African outbreak data. Weekly Event-Based Surveillance reports are the key series.,Pan-African Source,Country-level,English and French,No,Live,High
3,Africa Data Hub,https://www.africadatahub.org/,https://www.africadatahub.org/,Africa,"Data infrastructure and curated African datasets built for journalists and researchers, including inflation, food prices, debt and elections trackers.",NGO / Civic tech,Multiple,Africa Data Hub,"CSV, Online, API",Free access,Continuous,2025,The African Inflation and Food Price trackers are unusually well maintained.,Pan-African Source,Country-level,English and French,Yes,Live,High
4,The Big Deal - African Tech Funding,https://thebigdeal.substack.com/,https://thebigdeal.substack.com/,Africa,"The most complete running tracker of African startup funding: deal counts, volumes, country and sector splits, published continuously.",Private,Startups / Venture capital,Africa: The Big Deal (Maxime Bayen & Max Cuvellier),"Online, PNG/JPG, Excel (paid database)",Partial free access,Weekly / Monthly,2026,Free newsletter carries headline numbers; the full deal-level database is a paid subscription. Best-in-class for African VC data.,Pan-African Source,Country-level,English and French,No,Live,High
5,AFRAA - African Airlines Association,https://www.afraa.org/our-work/statistics/,https://afraa.org/,Africa,"African aviation market data: traffic, capacity, connectivity, fleet and the Annual Africa Air Transport Report.",Private / Industry association,Aviation,African Airlines Association,"PDF, Online",Free access,Annual / Monthly,2026,The main African-owned aviation statistics source.,Pan-African Source,Sub-national,English and French,No,Live,High
7,African Capacity Building Foundation,https://theacbf.org/,https://www.acbf-pact.org/,Africa,Africa Capacity Report and country capacity index data covering institutional and human capacity across African states.,NGO / Non-profit research,Governance / Capacity,African Capacity Building Foundation,"PDF, Online",Free access,Annual,2026,CORRECTED: the foundation moved to theacbf.org; the old domain redirects.,Pan-African Source,Sub-national,English and French,No,Live,High
9,African Development Bank - Africa Information Highway (Open Data Portal),https://dataportal.opendataforafrica.org/,https://www.afdb.org/,Africa (54 countries),"The AfDB's flagship open data platform, linking national data portals for all 54 African countries with macroeconomic, sector and SDG indicators in a single interface.",International (MDB),All / Cross-sector,African Development Bank Group,"CSV, Excel, PDF, PNG/JPG, Online, API",Free access,Continuous,2026,"The backbone of African open data - most '<country>.opendataforafrica.org' portals hang off this. Highest-priority source for a pan-African platform. Automated check was blocked by the site (bot protection, TLS or robots.txt) on 18 Sep 2026; the page opens normally in a browser.",Pan-African Source,Country-level,English and French,Yes,Live - auto-check blocked,High
13,Afreximbank - Africa Trade Gateway,https://www.tradegateway.africa/,https://www.afreximbank.com/,Africa,"Digital trade platform bundling MANSA (due diligence repository), TRADAR intelligence, the Africa Trade Exchange and trade regulation data.",International (MDB),Trade / Finance,African Export-Import Bank,"Online, PDF",Free but requires signup,Continuous,2025,"MANSA is a rare Africa-wide company and bank due-diligence dataset. Automated check was blocked by the site (bot protection, TLS or robots.txt) on 18 Sep 2026; the page opens normally in a browser.",Pan-African Source,Country-level,English and French,No,Live - auto-check blocked,High
24,Afrobarometer - Data,https://www.afrobarometer.org/data/,https://www.afrobarometer.org/,Africa (39+ countries),"Pan-African public attitude survey on democracy, governance, economy, corruption, service delivery and quality of life, with nationally representative microdata from 1999.",Academic / Research institute,Governance / Public opinion,Afrobarometer,"CSV, SPSS, Stata, Online",Free access,Every 2-3 years (round-based),2026,The definitive African public opinion dataset. Online analysis tool plus full microdata download.,Pan-African Source,Microdata (household / firm level),English and French,No,Live,High
104,Global Findex Database,https://www.worldbank.org/en/publication/globalfindex,https://www.worldbank.org/,Global (deep Africa coverage),"The definitive demand-side financial inclusion survey: account ownership, payments, savings, borrowing and mobile money use by country, sex, income and education.",International,Financial inclusion,World Bank,"CSV, Excel, PDF, Online",Free access,"Every 3-4 years (2011, 2014, 2017, 2021, 2025)",2025,The 2025 round is the current edition. Microdata is downloadable alongside the indicator tables.,Global / Multi-region Source,Country-level,English,No,Live,Medium-High
